"Date","Bristol","Kent","Newport","Providence","Washington"
2020-03-01,0,0,0,1,0
2020-03-02,0,0,0,2,0
2020-03-03,0,0,0,2,0
2020-03-04,0,0,0,2,0
2020-03-05,0,0,0,2,0
2020-03-06,0,0,0,2,0
2020-03-07,0,0,0,3,0
2020-03-08,0,0,0,3,0
2020-03-09,0,0,0,3,0
2020-03-10,0,0,0,3,0
2020-03-11,0,0,0,5,0
2020-03-12,0,0,0,3,0
2020-03-13,0,0,0,3,0
2020-03-14,0,0,0,20,0
2020-03-15,0,0,0,20,0
2020-03-16,0,0,0,21,0
2020-03-17,0,0,0,23,0
2020-03-18,0,0,0,33,0
2020-03-19,0,0,0,44,0
2020-03-20,0,0,0,44,0
2020-03-21,4,4,8,30,8
2020-03-22,14,7,8,37,9
2020-03-23,24,7,9,52,9
2020-03-24,24,7,9,52,9
2020-03-25,24,7,9,52,9
2020-03-26,6,9,12,91,14
2020-03-27,6,9,12,91,14
2020-03-28,6,9,12,91,14
2020-03-29,12,27,19,156,23
2020-03-30,12,27,19,156,23
2020-03-31,14,31,23,208,28
2020-04-01,18,39,23,301,25
2020-04-02,21,59,33,418,34
2020-04-03,21,59,33,418,34
2020-04-04,21,59,33,418,34
2020-04-05,24,82,39,491,48
2020-04-06,25,92,42,538,53
2020-04-07,27,105,52,622,70
2020-04-08,31,137,56,832,120
2020-04-09,31,137,56,832,120
2020-04-10,37,151,56,955,120
2020-04-11,39,169,74,1278,140
2020-04-12,39,169,74,1278,140
2020-04-13,39,169,74,1278,140
2020-04-14,39,169,74,1278,140
2020-04-15,49,244,93,1957,152
2020-04-16,50,249,94,2072,162
2020-04-17,57,299,103,2703,225
2020-04-18,57,299,103,2703,183
2020-04-19,59,316,103,3014,184
2020-04-20,67,366,107,3491,198
2020-04-21,68,386,110,3727,209
2020-04-22,88,412,114,4064,268
2020-04-23,95,432,117,4350,256
2020-04-24,102,466,124,4603,272
2020-04-25,107,496,130,4916,282
2020-04-26,111,526,135,5266,292
2020-04-27,115,565,138,5427,303
2020-04-28,115,574,138,5520,313
2020-04-29,145,598,148,5967,324
2020-04-30,143,622,149,6290,330
2020-05-01,142,638,155,6579,344
2020-05-02,144,675,156,6822,350
2020-05-03,152,697,158,7028,356
2020-05-04,154,703,161,7138,363
2020-05-05,154,703,161,7138,363
2020-05-06,154,703,161,7138,363
2020-05-07,154,703,161,7138,363
2020-05-08,154,703,161,7138,363
2020-05-09,154,703,161,7138,363
2020-05-10,154,703,161,7138,363
2020-05-11,171,859,182,8674,406
2020-05-12,172,850,185,8798,411
2020-05-13,172,883,197,9112,425
2020-05-14,172,883,197,9112,425
2020-05-15,172,883,197,9112,425
2020-05-16,172,883,197,9112,425
2020-05-17,172,883,197,9112,425
2020-05-18,172,883,197,9112,425
2020-05-19,172,883,197,9112,425
2020-05-20,198,958,206,9976,462
2020-05-21,204,974,209,10160,471
2020-05-22,209,985,212,10320,482
2020-05-23,213,1005,226,10519,485
2020-05-24,213,1013,228,10607,486
2020-05-25,213,1013,228,10607,486
2020-05-26,213,1013,228,10607,486
2020-05-27,223,1032,235,10874,493
2020-05-28,222,1038,237,10968,496
2020-05-29,224,1052,244,11052,499
2020-05-30,224,1052,244,11052,499
2020-05-31,224,1052,244,11052,499
2020-06-01,224,1052,244,11052,499
2020-06-02,224,1052,244,11052,499
2020-06-03,224,1052,244,11052,499
2020-06-04,224,1052,244,11052,499
2020-06-05,224,1052,244,11052,499
2020-06-06,224,1052,244,11052,499
2020-06-07,224,1052,244,11052,499
2020-06-08,231,1105,269,11959,513
2020-06-09,231,1105,269,11959,513
2020-06-10,231,1105,269,11959,513
2020-06-11,231,1105,269,11959,513
2020-06-12,231,1105,269,11959,513
2020-06-13,231,1105,269,11959,513
2020-06-14,231,1105,269,11959,513
2020-06-15,240,1128,277,12363,516
2020-06-16,240,1128,277,12363,516
2020-06-17,240,1128,277,12363,516
2020-06-18,240,1128,277,12363,516
2020-06-19,240,1128,277,12363,516
2020-06-20,240,1128,277,12363,516
2020-06-21,240,1128,277,12363,516
2020-06-22,247,1169,294,12712,523
2020-06-23,247,1169,294,12712,523
2020-06-24,247,1169,294,12712,523
2020-06-25,247,1169,294,12712,523
2020-06-26,247,1169,294,12712,523
2020-06-27,247,1169,294,12712,523
2020-06-28,247,1169,294,12712,523
2020-06-29,253,1199,308,12937,532
2020-06-30,253,1199,308,12937,532
2020-07-01,253,1199,308,12937,532
2020-07-02,253,1199,308,12937,532
2020-07-03,256,1234,331,13144,538
2020-07-04,256,1234,331,13144,538
2020-07-05,256,1234,331,13144,538
2020-07-06,256,1234,331,13144,538
2020-07-07,256,1234,331,13144,538
2020-07-08,256,1234,331,13144,538
2020-07-09,256,1234,331,13144,538
2020-07-10,256,1234,331,13144,538
2020-07-11,256,1234,331,13144,538
2020-07-12,256,1234,331,13144,538
2020-07-13,256,1234,331,13144,538
2020-07-14,256,1234,331,13144,538
2020-07-15,283,1316,365,13674,564
2020-07-16,283,1316,365,13674,564
2020-07-17,283,1316,365,13674,564
2020-07-18,283,1316,365,13674,564
2020-07-19,283,1316,365,13674,564
2020-07-20,283,1316,365,13674,564
