"Date","Belknap","Carroll","Cheshire","Coos","Grafton","Hillsborough","Merrimack","Rockingham","Strafford","Sullivan"
2020-03-01,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,1,0,0,0,0,0
2020-03-03,0,0,0,0,2,0,0,0,0,0
2020-03-04,0,0,0,0,2,0,0,0,0,0
2020-03-05,0,0,0,0,2,0,0,0,0,0
2020-03-06,0,0,0,0,2,0,0,0,0,0
2020-03-07,0,0,0,0,2,0,0,0,0,0
2020-03-08,0,0,0,0,3,0,0,1,0,0
2020-03-09,0,0,0,0,3,0,0,1,0,0
2020-03-10,0,0,0,0,3,0,0,1,0,0
2020-03-11,0,0,0,0,3,0,0,2,0,0
2020-03-12,0,0,0,0,3,0,0,3,0,0
2020-03-13,0,0,0,0,3,0,0,3,0,0
2020-03-14,0,0,0,0,3,0,0,4,0,0
2020-03-15,0,0,0,0,3,0,0,4,0,0
2020-03-16,0,1,0,0,5,1,0,10,0,0
2020-03-17,0,1,0,0,7,4,0,14,0,0
2020-03-18,0,4,0,0,7,8,1,17,0,0
2020-03-19,0,4,0,0,7,8,1,17,0,0
2020-03-20,0,5,1,0,10,11,2,19,0,0
2020-03-21,0,5,1,1,13,11,4,25,1,0
2020-03-22,0,6,1,0,15,15,4,28,3,1
2020-03-23,4,6,1,0,15,16,4,28,3,1
2020-03-24,7,7,1,0,20,19,4,38,4,1
2020-03-25,7,7,1,0,21,20,4,42,5,1
2020-03-26,8,7,1,0,22,30,5,56,7,1
2020-03-27,8,7,2,0,23,31,7,67,7,2
2020-03-28,9,8,2,0,26,43,11,75,11,2
2020-03-29,9,8,2,0,28,53,14,86,12,2
2020-03-30,9,10,3,0,29,69,18,100,17,3
2020-03-31,12,12,4,0,34,99,27,137,28,4
2020-04-01,12,12,4,0,34,109,27,137,28,4
2020-04-02,13,14,8,0,38,163,33,170,35,5
2020-04-03,13,14,8,0,38,163,33,170,35,5
2020-04-04,14,17,9,1,38,194,36,190,36,5
2020-04-05,17,17,10,1,41,231,39,213,43,5
2020-04-06,18,19,13,1,41,272,52,246,46,6
2020-04-07,18,19,13,1,41,272,52,246,46,6
2020-04-08,21,19,13,1,41,288,56,255,46,6
2020-04-09,21,23,14,1,43,303,60,268,48,6
2020-04-10,21,23,14,1,43,303,60,268,48,6
2020-04-11,21,28,17,2,43,344,66,305,53,6
2020-04-12,21,28,18,2,43,367,71,314,58,6
2020-04-13,22,28,19,2,45,385,73,345,59,6
2020-04-14,24,29,21,2,45,271,75,378,69,7
2020-04-15,24,29,26,2,44,458,81,399,69,7
2020-04-16,24,29,26,2,44,458,81,399,69,7
2020-04-17,25,32,27,2,44,525,88,449,84,9
2020-04-18,25,30,28,2,45,552,92,466,92,10
2020-04-19,26,30,29,2,45,581,94,479,94,10
2020-04-20,26,30,30,2,45,604,96,489,111,10
2020-04-21,28,30,30,2,45,626,101,493,111,10
2020-04-22,28,30,33,2,45,681,105,519,118,10
2020-04-23,28,30,35,2,46,721,113,551,123,10
2020-04-24,30,30,35,2,47,753,115,568,126,11
2020-04-25,31,30,36,2,47,780,129,593,129,11
2020-04-26,31,30,36,2,48,824,126,619,132,11
2020-04-27,35,31,38,2,48,859,128,643,132,11
2020-04-28,34,31,40,2,48,896,144,664,133,11
2020-04-29,34,31,40,2,48,931,145,670,139,11
2020-04-30,34,31,40,2,50,964,177,692,141,12
2020-05-01,37,32,40,2,51,1012,185,779,145,12
2020-05-02,38,32,40,2,51,1058,185,828,149,12
2020-05-03,39,32,40,2,53,1109,195,862,155,12
2020-05-04,40,33,40,2,53,1157,200,878,158,12
2020-05-05,40,34,41,2,54,1181,206,888,163,12
2020-05-06,41,34,41,2,54,1252,213,903,168,13
2020-05-07,42,35,41,2,55,1308,220,933,172,14
2020-05-08,42,36,43,2,56,1375,227,949,175,14
2020-05-09,44,36,43,2,55,1404,234,964,183,14
2020-05-10,46,37,43,2,56,1438,237,978,192,14
2020-05-11,46,37,43,2,58,1496,243,994,196,14
2020-05-12,47,37,44,2,57,1551,252,1010,199,14
2020-05-13,47,37,45,2,58,1592,256,1021,201,14
2020-05-14,49,39,45,2,59,1624,261,1040,215,14
2020-05-15,50,39,47,4,61,1680,261,1040,221,16
2020-05-16,51,41,47,4,61,1723,278,1095,230,16
2020-05-17,53,44,47,4,61,1747,278,1104,232,16
